Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
0,3.0,1.0,22.0,1.0,0.0,7.25,2.0
1,1.0,0.0,38.0,1.0,0.0,71.2833,0.0
1,3.0,0.0,26.0,0.0,0.0,7.925,2.0
1,1.0,0.0,35.0,1.0,0.0,53.1,2.0
0,3.0,1.0,35.0,0.0,0.0,8.05,2.0
0,3.0,1.0,47.8,0.0,0.0,8.4583,1.0
0,1.0,1.0,54.0,0.0,0.0,51.8625,2.0
0,3.0,1.0,2.0,3.0,1.0,21.075,2.0
1,3.0,0.0,27.0,0.0,2.0,11.1333,2.0
1,2.0,0.0,14.0,1.0,0.0,30.0708,0.0
1,3.0,0.0,4.0,1.0,1.0,16.7,2.0
1,1.0,0.0,58.0,0.0,0.0,26.55,2.0
0,3.0,1.0,20.0,0.0,0.0,8.05,2.0
0,3.0,1.0,39.0,1.0,5.0,31.275,2.0
0,3.0,0.0,14.0,0.0,0.0,7.8542,2.0
1,2.0,0.0,55.0,0.0,0.0,16.0,2.0
0,3.0,1.0,2.0,4.0,1.0,29.125,1.0
1,2.0,1.0,32.4,0.0,0.0,13.0,2.0
0,3.0,0.0,31.0,1.0,0.0,18.0,2.0
1,3.0,0.0,17.2,0.0,0.0,7.225,0.0
0,2.0,1.0,35.0,0.0,0.0,26.0,2.0
1,2.0,1.0,34.0,0.0,0.0,13.0,2.0
1,3.0,0.0,15.0,0.0,0.0,8.0292,1.0
1,1.0,1.0,28.0,0.0,0.0,35.5,2.0
0,3.0,0.0,8.0,3.0,1.0,21.075,2.0
1,3.0,0.0,38.0,1.0,5.0,31.3875,2.0
0,3.0,1.0,32.8,0.0,0.0,7.225,0.0
0,1.0,1.0,19.0,3.0,2.0,263.0,2.0
1,3.0,0.0,17.6,0.0,0.0,7.8792,1.0
0,3.0,1.0,29.4,0.0,0.0,7.8958,2.0
0,1.0,1.0,40.0,0.0,0.0,27.7208,0.0
1,1.0,0.0,21.584,1.0,0.0,146.5208,0.0
1,3.0,0.0,17.6,0.0,0.0,7.75,1.0
0,2.0,1.0,66.0,0.0,0.0,10.5,2.0
0,1.0,1.0,28.0,1.0,0.0,82.1708,0.0
0,1.0,1.0,42.0,1.0,0.0,52.0,2.0
1,3.0,1.0,22.8,0.0,0.0,7.2292,0.0
0,3.0,1.0,21.0,0.0,0.0,8.05,2.0
0,3.0,0.0,18.0,2.0,0.0,18.0,2.0
1,3.0,0.0,14.0,1.0,0.0,11.2417,0.0
0,3.0,0.0,40.0,1.0,0.0,9.475,2.0
0,2.0,0.0,27.0,1.0,0.0,21.0,2.0
0,3.0,1.0,28.4,0.0,0.0,7.8958,0.0
1,2.0,0.0,3.0,1.0,2.0,41.5792,0.0
1,3.0,0.0,19.0,0.0,0.0,7.8792,1.0
0,3.0,1.0,28.7,0.0,0.0,8.05,2.0
0,3.0,1.0,32.0,1.0,0.0,15.5,1.0
1,3.0,0.0,17.6,0.0,0.0,7.75,1.0
0,3.0,1.0,26.4,2.0,0.0,21.6792,0.0
0,3.0,0.0,18.0,1.0,0.0,17.8,2.0
0,3.0,1.0,7.0,4.0,1.0,39.6875,2.0
0,3.0,1.0,21.0,0.0,0.0,7.8,2.0
1,1.0,0.0,49.0,1.0,0.0,76.7292,0.0
1,2.0,0.0,29.0,1.0,0.0,26.0,2.0
0,1.0,1.0,65.0,0.0,1.0,61.9792,0.0
1,1.0,1.0,36.8,0.0,0.0,35.5,2.0
1,2.0,0.0,21.0,0.0,0.0,10.5,2.0
0,3.0,1.0,28.5,0.0,0.0,7.2292,0.0
1,2.0,0.0,5.0,1.0,2.0,27.75,2.0
0,3.0,1.0,11.0,5.0,2.0,46.9,2.0
0,3.0,1.0,22.0,0.0,0.0,7.2292,0.0
0,1.0,1.0,45.0,1.0,0.0,83.475,2.0
0,3.0,1.0,4.0,3.0,2.0,27.9,2.0
0,1.0,1.0,38.6,0.0,0.0,27.7208,0.0
1,3.0,1.0,24.4,1.0,1.0,15.2458,0.0
1,2.0,0.0,29.0,0.0,0.0,10.5,2.0
0,3.0,1.0,19.0,0.0,0.0,8.1583,2.0
1,3.0,0.0,17.0,4.0,2.0,7.925,2.0
0,3.0,1.0,26.0,2.0,0.0,8.6625,2.0
0,2.0,1.0,32.0,0.0,0.0,10.5,2.0
0,3.0,0.0,16.0,5.0,2.0,46.9,2.0
0,2.0,1.0,21.0,0.0,0.0,73.5,2.0
0,3.0,1.0,26.0,1.0,0.0,14.4542,0.0
1,3.0,1.0,32.0,0.0,0.0,56.4958,2.0
0,3.0,1.0,25.0,0.0,0.0,7.65,2.0
0,3.0,1.0,29.4,0.0,0.0,7.8958,2.0
0,3.0,1.0,28.7,0.0,0.0,8.05,2.0
1,2.0,1.0,0.83,0.0,2.0,29.0,2.0
1,3.0,0.0,30.0,0.0,0.0,12.475,2.0
0,3.0,1.0,22.0,0.0,0.0,9.0,2.0
1,3.0,1.0,29.0,0.0,0.0,9.5,2.0
1,3.0,0.0,17.6,0.0,0.0,7.7875,1.0
0,1.0,1.0,28.0,0.0,0.0,47.1,2.0
1,2.0,0.0,17.0,0.0,0.0,10.5,2.0
1,3.0,0.0,33.0,3.0,0.0,15.85,2.0
0,3.0,1.0,16.0,1.0,3.0,34.375,2.0
0,3.0,1.0,28.7,0.0,0.0,8.05,2.0
1,1.0,0.0,23.0,3.0,2.0,263.0,2.0
0,3.0,1.0,24.0,0.0,0.0,8.05,2.0
0,3.0,1.0,29.0,0.0,0.0,8.05,2.0
0,3.0,1.0,20.0,0.0,0.0,7.8542,2.0
0,1.0,1.0,46.0,1.0,0.0,61.175,2.0
0,3.0,1.0,26.0,1.0,2.0,20.575,2.0
0,3.0,1.0,59.0,0.0,0.0,7.25,2.0
0,3.0,1.0,28.7,0.0,0.0,8.05,2.0
